Data_0,Data_5,Data_8,Data_10,Data_12,Data_14,Data_16,Data_18,Data_21,Data_23
1.1249694638236165,2.610721572542676,1.5910491891985166,1.133721697001044,1.6462901838774222,2.134318025295626,1.4245137838013966,1.4455048520948885,1.1596823833999652,1.2999331713496511
2.3235516925331483,2.9674225385891115,3.0407310695095013,2.5114079767149087,2.5186380670004214,2.760368400923316,2.3364041325745584,2.7772302621564195,2.6970620725928884,2.313318273412646
""
""
""
""
""
""
""
""
""
""
